time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	4	0.5	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.775647	0.564344	4.68164	0.0713246	0.0201295	radar	4.46613	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.03211	0.540519	5.01609	-0.211117	-0.0170321	lidar	1.51666	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.23756	0.516236	5.24395	-0.043931	0.113513	radar	1.45345	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.54407	0.528274	5.35009	-0.0416588	0.118485	lidar	1.242	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.79933	0.543137	5.36694	0.0199645	0.317772	radar	0.667782	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.09423	0.569135	5.40866	0.0482425	0.378627	lidar	0.863795	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.30774	0.628858	5.22935	0.140429	0.593549	radar	2.11961	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.58337	0.665811	5.26272	0.158512	0.559239	lidar	0.293022	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.85524	0.662856	5.28676	0.116009	0.325223	radar	0.362809	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.09668	0.681015	5.25944	0.117173	0.27192	lidar	0.501188	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.38981	0.576767	5.29535	-0.0423752	-0.219218	radar	3.00885	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.69973	0.481189	5.36726	-0.156954	-0.483952	lidar	3.99211	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.97861	0.552427	5.42808	-0.0551996	-0.170281	radar	2.72702	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.25807	0.549767	5.43921	-0.0527518	-0.144592	lidar	0.191569	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.51583	0.585651	5.3445	-0.0167443	-0.0559163	radar	1.13981	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.70482	0.695005	5.19222	0.0808394	0.13496	lidar	9.64412	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.9566	0.692876	5.09001	0.0687562	0.10268	radar	1.75722	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
